Date,Product Name,Units Sold,Unit Price,Total Sales,Foot Traffic,Discount Applied (%),Ad Spend (₱),Social Media Engagement,Holiday,Local Event,Category_Appetizers,Category_Cakes | Pastries,Category_Iced Coffee,Category_Pasta | Noodles,Category_Rice Meals,Category_Silog Meals,Category_Specialty Coffee,Weather_Partly Cloudy,Weather_Rainy,Weather_Stormy,Weather_Sunny
01/03/2024,Blueberry Cheesecake,9,160,1440,0.296,10,0.391168,0.757664,0,0,0,0,0,0,1,0,0,0,0,1,0
01/03/2024,Strawberry Cheesecake,18,160,2880,0.433,0,0.017781,0.493895,0,0,0,0,0,0,0,1,0,1,0,0,0
01/03/2024,Butter Croissant,7,110,770,0.627,5,0.839081,0.450747,0,0,0,0,0,0,1,0,0,0,0,0,1
01/03/2024,Kouign Amman Cinnamon,20,120,2400,0.687,0,0.094489,0.694014,0,1,1,0,0,0,0,0,0,0,0,0,1
01/03/2024,Chocolate Croissant,13,120,1560,0.341,0,0.638764,0.958819,0,0,0,1,0,0,0,0,0,1,0,0,0
01/03/2024,Choco Moist,8,100,800,0.949,10,0.965467,0.432426,0,1,0,0,0,1,0,0,0,1,0,0,0
01/03/2024,Cookies,5,65,325,0.779,0,0.731761,0.851636,0,1,0,0,0,0,1,0,0,0,1,0,0
01/03/2024,BLK.8 Burger,16,280,4480,0.872,10,0.247972,0.997283,0,0,0,0,0,1,0,0,0,0,1,0,0
01/03/2024,French Fries,10,130,1300,0.501,5,0.137172,0.149599,0,1,0,0,1,0,0,0,0,1,0,0,0
01/03/2024,Nachos,3,170,510,0.837,0,0.569811,0.855018,0,1,0,1,0,0,0,0,0,1,0,0,0
01/03/2024,Ham & Cheese Panini,1,100,100,0.605,5,0.148898,0.781446,0,0,0,0,1,0,0,0,0,0,0,0,1
01/03/2024,Tuna Sandwich,1,100,100,0.19,10,0.245991,0.603938,0,1,0,0,0,0,1,0,0,0,1,0,0
01/03/2024,Clubhouse,6,180,1080,0.101,10,0.580208,0.38406,0,1,0,0,0,1,0,0,0,1,0,0,0
01/03/2024,Cheesy Bacon Fries,16,180,2880,0.468,10,0.864489,0.135894,0,0,0,1,0,0,0,0,0,1,0,0,0
01/03/2024,Potato Wedges,2,180,360,0.493,0,0.655517,0.181795,0,0,0,0,0,0,0,1,0,1,0,0,0
01/03/2024,Barkada Combo,10,300,3000,0.244,0,0.955313,0.820118,0,0,0,0,0,0,1,0,0,0,0,1,0
01/03/2024,Chicken Parmesan,17,280,4760,0.469,5,0.693768,0.474808,0,0,1,0,0,0,0,0,0,0,0,1,0
01/03/2024,Buffalo Wings,3,280,840,0.851,0,0.966855,0.972454,0,0,0,0,0,0,1,0,0,0,0,0,1
