Date,Product Name,Units Sold,Unit Price,Total Sales,Foot Traffic,Discount Applied (%),Ad Spend (₱),Social Media Engagement,Holiday,Local Event,Category_Appetizers,Category_Cakes | Pastries,Category_Iced Coffee,Category_Pasta | Noodles,Category_Rice Meals,Category_Silog Meals,Category_Specialty Coffee,Weather_Partly Cloudy,Weather_Rainy,Weather_Stormy,Weather_Sunny
01/03/2024,Blueberry Cheesecake,4,160,640,0.54,5,0.379086,0.223532,0,0,0,0,0,0,0,0,1,1,0,0,0
01/03/2024,Strawberry Cheesecake,7,160,1120,0.379,5,0.396451,0.010937,0,0,0,0,0,0,0,0,1,0,0,0,1
01/03/2024,Butter Croissant,8,110,880,0.275,5,0.895025,0.135143,0,1,0,0,0,0,1,0,0,1,0,0,0
01/03/2024,Kouign Amman Cinnamon,20,120,2400,0.138,5,0.354805,0.964777,0,0,0,0,0,0,1,0,0,0,1,0,0
01/03/2024,Chocolate Croissant,15,120,1800,0.692,5,0.640066,0.552655,0,1,0,0,0,1,0,0,0,0,1,0,0
01/03/2024,Choco Moist,16,100,1600,0.308,0,0.46935,0.575159,0,1,0,0,0,0,1,0,0,0,0,0,1
01/03/2024,Cookies,9,65,585,0.775,10,0.730767,0.95073,0,1,0,0,0,0,0,0,1,0,0,0,1
01/03/2024,BLK.8 Burger,15,280,4200,0.531,5,0.615624,0.719972,0,1,0,0,0,0,0,0,1,0,1,0,0
01/03/2024,French Fries,6,130,780,0.709,0,0.259982,0.687358,0,1,0,0,1,0,0,0,0,0,0,1,0
01/03/2024,Nachos,11,170,1870,0.269,10,0.492237,0.312257,0,1,0,0,0,0,1,0,0,0,0,0,1
01/03/2024,Ham & Cheese Panini,9,100,900,0.796,5,0.025647,0.867284,0,0,0,0,0,1,0,0,0,1,0,0,0
01/03/2024,Tuna Sandwich,16,100,1600,0.153,0,0.570546,0.794395,0,0,0,0,0,0,1,0,0,0,0,1,0
01/03/2024,Clubhouse,3,180,540,0.287,10,0.903223,0.115011,0,1,0,0,0,1,0,0,0,0,1,0,0
01/03/2024,Cheesy Bacon Fries,14,180,2520,0.127,10,0.504196,0.037957,0,1,0,0,0,0,0,0,1,0,0,1,0
01/03/2024,Potato Wedges,15,180,2700,0.515,0,0.180129,0.339012,0,1,0,0,0,1,0,0,0,0,0,1,0
01/03/2024,Barkada Combo,7,300,2100,0.766,5,0.27973,0.67642,0,1,0,0,0,0,1,0,0,0,1,0,0
01/03/2024,Chicken Parmesan,3,280,840,0.559,10,0.531258,0.509729,0,1,0,0,0,0,1,0,0,1,0,0,0
01/03/2024,Buffalo Wings,4,280,1120,0.285,10,0.581534,0.668733,0,0,0,0,0,1,0,0,0,0,0,1,0
01/03/2024,Lechon Kawali,7,170,1190,0.22,0,0.656965,0.908127,0,1,1,0,0,0,0,0,0,1,0,0,0
