Date,Product Name,Units Sold,Unit Price,Total Sales,Foot Traffic,Discount Applied (%),Ad Spend (₱),Social Media Engagement,Holiday,Local Event,Category_Appetizers,Category_Cakes | Pastries,Category_Iced Coffee,Category_Pasta | Noodles,Category_Rice Meals,Category_Silog Meals,Category_Specialty Coffee,Weather_Partly Cloudy,Weather_Rainy,Weather_Stormy,Weather_Sunny
01/01/2024,Blueberry Cheesecake,5,160,800,0.388,0,0.666666667,0.3,1,0,0,1,0,0,0,0,0,0,0,0,0
01/01/2024,Strawberry Cheesecake,4,160,640,0.352,0,0.333333333,0.84,1,0,0,1,0,0,0,0,0,0,0,1,0
01/01/2024,Butter Croissant,5,110,550,0.432,0,0.666666667,0.531111111,1,0,0,1,0,0,0,0,0,0,0,1,0
01/01/2024,Kouign Amman Cinnamon,19,120,2280,0.02,5,0.666666667,0.646666667,1,0,0,1,0,0,0,0,0,0,0,0,0
01/01/2024,Chocolate Croissant,14,120,1680,0.816,0,0,0.122222222,1,0,0,1,0,0,0,0,0,1,0,0,0
01/01/2024,Choco Moist,19,100,1900,0.444,10,0,0.277777778,1,0,0,1,0,0,0,0,0,1,0,0,0
01/01/2024,Cookies,6,65,390,0.476,0,1,0.962222222,1,0,0,1,0,0,0,0,0,0,1,0,0
01/01/2024,BLK.8 Burger,5,280,1400,0.128,0,1,0.593333333,1,0,1,0,0,0,0,0,0,0,0,1,0
01/01/2024,French Fries,16,130,2080,0.568,0,0.333333333,0.024444444,1,0,1,0,0,0,0,0,0,0,0,0,0
01/01/2024,Nachos,3,170,510,0.74,0,0.333333333,0.951111111,1,0,1,0,0,0,0,0,0,0,0,1,0
01/01/2024,Ham & Cheese Panini,16,100,1600,0.408,5,0.666666667,0.491111111,1,0,1,0,0,0,0,0,0,0,0,0,0
01/01/2024,Tuna Sandwich,5,100,500,0.384,0,0,0.793333333,1,0,1,0,0,0,0,0,0,0,1,0,0
01/01/2024,Clubhouse,10,180,1800,0.5,10,0.333333333,0.495555556,1,0,1,0,0,0,0,0,0,0,0,0,0
01/01/2024,Cheesy Bacon Fries,15,180,2700,0.512,5,0.666666667,0.422222222,1,0,1,0,0,0,0,0,0,0,0,1,0
01/01/2024,Potato Wedges,16,180,2880,0.8,10,0,0.775555556,1,0,1,0,0,0,0,0,0,0,0,1,0
01/01/2024,Barkada Combo,13,300,3900,0.648,5,0.666666667,0.822222222,1,0,1,0,0,0,0,0,0,0,0,0,0
01/01/2024,Chicken Parmesan,16,280,4480,0.164,5,1,0.382222222,1,0,1,0,0,0,0,0,0,1,0,0,0
01/01/2024,Buffalo Wings,16,280,4480,0.956,0,1,0.7,1,0,1,0,0,0,0,0,0,0,0,1,0
01/01/2024,Lechon Kawali,10,170,1700,0.832,0,0.666666667,0.48,1,0,0,0,0,0,1,0,0,0,0,0,0
01/01/2024,Grilled Liempo,3,170,510,0.972,0,0.666666667,0.446666667,1,0,0,0,0,0,1,0,0,0,0,0,1
01/01/2024,Bangsilog,17,180,3060,0.2,10,0.333333333,0.297777778,1,0,0,0,0,0,0,1,0,0,0,0,0
01/01/2024,Bulaksilog,11,170,1870,0.772,5,0.333333333,0.355555556,1,0,0,0,0,0,0,1,0,1,0,0,0
01/01/2024,Baconsilog,15,170,2550,0.224,0,0.666666667,0.904444444,1,0,0,0,0,0,0,1,0,0,0,0,0
01/01/2024,Spamsilog,15,170,2550,0.968,10,0,0.826666667,1,0,0,0,0,0,0,1,0,0,1,0,0
01/01/2024,Tapsilog,9,170,1530,0.712,0,0,0.74,1,0,0,0,0,0,0,1,0,0,0,0,1
01/01/2024,Longsilog,9,170,1530,0.416,0,1,0.917777778,1,0,0,0,0,0,0,1,0,0,0,0,1
01/01/2024,Tocilog,10,150,1500,0.344,0,0.666666667,0.655555556,1,0,0,0,0,0,0,1,0,1,0,0,0
01/01/2024,Hamsilog,20,140,2800,0.784,0,0.666666667,0.388888889,1,0,0,0,0,0,0,1,0,0,0,1,0
01/01/2024,Creamy Chicken Alfredo,1,170,170,0.58,0,0.666666667,0.56,1,0,0,0,0,1,0,0,0,0,1,0,0
01/01/2024,Carbonara,1,170,170,0.852,0,1,0.813333333,1,0,0,0,0,1,0,0,0,0,0,0,0
01/01/2024,Classic Spaghetti,1,160,160,0.448,0,0.666666667,0.297777778,1,0,0,0,0,1,0,0,0,0,0,0,0
01/01/2024,Ramyeon (Mild or Spicy),20,120,2400,0.444,5,1,0.106666667,1,0,0,0,0,1,0,0,0,1,0,0,0
01/01/2024,Egg,9,30,270,0.448,0,0.666666667,0.146666667,1,0,0,0,0,0,0,0,0,0,0,0,1
01/01/2024,Kimchi,12,50,600,0.188,10,0.666666667,0.475555556,1,0,0,0,0,0,0,0,0,0,1,0,0
01/01/2024,Cheese,15,30,450,0.236,0,0,0.315555556,1,0,0,0,0,0,0,0,0,0,0,1,0
01/01/2024,V60 Pour-Over,2,150,300,0.136,0,0.333333333,0.411111111,1,0,0,0,0,0,0,0,1,0,1,0,0
01/01/2024,Piccolo,12,90,1080,0.136,0,1,0.882222222,1,0,0,0,0,0,0,0,1,0,1,0,0
01/01/2024,Cortado,17,120,2040,0.864,10,0.666666667,0.575555556,1,0,0,0,0,0,0,0,1,0,0,1,0
01/01/2024,Americano,13,120,1560,0.264,5,0,0.077777778,1,0,0,0,0,0,0,0,1,0,0,0,1
01/01/2024,Latte,7,130,910,0.164,0,0,0.782222222,1,0,0,0,0,0,0,0,1,0,0,0,1
01/01/2024,Cappuccino,0,130,0,0.332,0,0.666666667,0.068888889,1,0,0,0,0,0,0,0,1,0,0,0,1
01/01/2024,Flat White,11,130,1430,0.52,5,0.666666667,0.642222222,1,0,0,0,0,0,0,0,1,0,0,0,1
01/01/2024,BLK.8 Latte,19,180,3420,0.844,0,0,0.664444444,1,0,0,0,1,0,0,0,0,0,0,1,0
01/01/2024,Vanilla Ice Cream Latte,4,180,720,0.864,0,0.666666667,0.771111111,1,0,0,0,1,0,0,0,0,0,0,0,1
01/01/2024,Iced Latte,5,140,700,0.828,0,0,0.411111111,1,0,0,0,1,0,0,0,0,0,1,0,0
01/01/2024,Caramel Macchiato,14,150,2100,0.596,5,1,0.417777778,1,0,0,0,1,0,0,0,0,0,0,0,1
01/01/2024,French Vanilla,17,140,2380,0.468,0,0.666666667,0.964444444,1,0,0,0,1,0,0,0,0,0,1,0,0
01/01/2024,Hazelnut,5,140,700,0.4,0,0,0.013333333,1,0,0,0,1,0,0,0,0,0,0,0,1
01/01/2024,Matcha Coffee,3,150,450,0.568,0,0,0.313333333,1,0,0,0,1,0,0,0,0,0,1,0,0
01/01/2024,Mocha,0,150,0,0.256,0,0,0.435555556,1,0,0,0,1,0,0,0,0,0,0,0,1
01/01/2024,Spanish Latte,5,140,700,0.72,0,1,0.126666667,1,0,0,0,1,0,0,0,0,0,0,1,0
01/01/2024,Strawberry Matcha,19,160,3040,0.72,10,1,0.275555556,1,0,0,0,1,0,0,0,0,0,0,0,1
01/01/2024,Chocolate Matcha,3,160,480,0.932,0,0.666666667,0.828888889,1,0,0,0,1,0,0,0,0,0,1,0,0
01/01/2024,Orange Coffee,13,150,1950,0.948,0,1,0.668888889,1,0,0,0,1,0,0,0,0,0,0,0,0
01/01/2024,Iced Americano,20,130,2600,0.888,0,1,0.12,1,0,0,0,1,0,0,0,0,1,0,0,0
02/01/2024,Blueberry Cheesecake,0,160,0,0.304,0,0.666666667,0.824444444,0,0,0,1,0,0,0,0,0,0,0,0,0
02/01/2024,Strawberry Cheesecake,17,160,2720,0.164,0,0,0.337777778,0,0,0,1,0,0,0,0,0,0,0,0,1
02/01/2024,Butter Croissant,15,110,1650,0.904,10,1,0.733333333,0,0,0,1,0,0,0,0,0,0,0,0,1
02/01/2024,Kouign Amman Cinnamon,20,120,2400,0.956,10,0.666666667,0.242222222,0,0,0,1,0,0,0,0,0,1,0,0,0
02/01/2024,Chocolate Croissant,3,120,360,0.112,0,1,0.944444444,0,0,0,1,0,0,0,0,0,0,0,1,0
02/01/2024,Choco Moist,3,100,300,0.228,0,0.333333333,0.253333333,0,0,0,1,0,0,0,0,0,0,0,0,0
02/01/2024,Cookies,18,65,1170,0.72,5,0.333333333,0.546666667,0,0,0,1,0,0,0,0,0,0,0,0,0
02/01/2024,BLK.8 Burger,10,280,2800,0.328,10,1,0.768888889,0,0,1,0,0,0,0,0,0,0,0,0,1
02/01/2024,French Fries,18,130,2340,0.308,10,1,0.926666667,0,0,1,0,0,0,0,0,0,0,0,0,1
02/01/2024,Nachos,2,170,340,0.12,0,0.666666667,0.455555556,0,0,1,0,0,0,0,0,0,0,0,0,1
02/01/2024,Ham & Cheese Panini,19,100,1900,0.128,5,0.333333333,0.615555556,0,0,1,0,0,0,0,0,0,0,0,0,1
02/01/2024,Tuna Sandwich,7,100,700,0.588,5,0.333333333,0.188888889,0,0,1,0,0,0,0,0,0,1,0,0,0
02/01/2024,Clubhouse,8,180,1440,0.736,5,0.333333333,0.595555556,0,0,1,0,0,0,0,0,0,0,0,1,0
02/01/2024,Cheesy Bacon Fries,13,180,2340,0.2,5,0.333333333,0.108888889,0,0,1,0,0,0,0,0,0,0,0,0,0
02/01/2024,Potato Wedges,9,180,1620,0.412,0,0,0.113333333,0,0,1,0,0,0,0,0,0,0,0,1,0
02/01/2024,Chicken Parmesan,16,280,4480,0.048,10,1,0.586666667,0,0,1,0,0,0,0,0,0,0,1,0,0
02/01/2024,Buffalo Wings,0,280,0,0.62,0,1,0.795555556,0,0,1,0,0,0,0,0,0,0,0,0,0
02/01/2024,Lechon Kawali,18,170,3060,0.096,10,0,0.115555556,0,0,0,0,0,0,1,0,0,0,0,0,0
02/01/2024,Grilled Liempo,0,170,0,0.412,0,0,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0
02/01/2024,Bangsilog,11,180,1980,0.584,5,0,0.72,0,0,0,0,0,0,0,1,0,0,0,1,0
02/01/2024,Bulaksilog,3,170,510,0.84,0,0,0.977777778,0,0,0,0,0,0,0,1,0,0,0,0,1
02/01/2024,Baconsilog,7,170,1190,0.636,10,0.333333333,0.2,0,0,0,0,0,0,0,1,0,0,1,0,0
02/01/2024,Spamsilog,20,170,3400,0.04,0,0.666666667,0.344444444,0,0,0,0,0,0,0,1,0,0,1,0,0
02/01/2024,Tapsilog,18,170,3060,0.604,0,1,0.126666667,0,0,0,0,0,0,0,1,0,0,0,0,1
02/01/2024,Longsilog,13,170,2210,0.984,10,0.666666667,0.971111111,0,0,0,0,0,0,0,1,0,0,1,0,0
02/01/2024,Tocilog,5,150,750,0.828,0,1,0.186666667,0,0,0,0,0,0,0,1,0,1,0,0,0
02/01/2024,Hamsilog,15,140,2100,0.632,10,0.333333333,0.888888889,0,0,0,0,0,0,0,1,0,0,0,0,0
02/01/2024,Creamy Chicken Alfredo,4,170,680,0.228,0,0.666666667,0.244444444,0,0,0,0,0,1,0,0,0,0,0,0,0
02/01/2024,Carbonara,14,170,2380,0.848,5,1,0.955555556,0,0,0,0,0,1,0,0,0,0,0,0,0
02/01/2024,Classic Spaghetti,13,160,2080,0.124,10,0.333333333,0.026666667,0,0,0,0,0,1,0,0,0,1,0,0,0
02/01/2024,Ramyeon (Mild or Spicy),15,120,1800,0.28,5,0,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0
02/01/2024,Egg,18,30,540,0.652,0,1,0.906666667,0,0,0,0,0,0,0,0,0,0,0,0,1
02/01/2024,Kimchi,20,50,1000,0.988,10,0.666666667,0.484444444,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2024,Cheese,8,30,240,0.444,5,0.333333333,0.642222222,0,0,0,0,0,0,0,0,0,1,0,0,0
02/01/2024,V60 Pour-Over,2,150,300,0.96,0,1,0.171111111,0,0,0,0,0,0,0,0,1,0,0,0,1
02/01/2024,Piccolo,16,90,1440,0.22,10,0,0.062222222,0,0,0,0,0,0,0,0,1,1,0,0,0
